price_reference_date,context_start_date,target_date,prediction_date,target_date_sol_price,prediction_date_sol_price,actual_change_pct,tweets,predicted_price,predicted_change_pct,llm_reasoning,llm_reflection,btc_price_array,eth_price_array,sol_price_array,sp_price_array,btc_30d_change_pct,eth_30d_change_pct,sol_30d_change_pct,sp500_30d_change_pct
2024-07-25,2024-07-30,2024-08-01,2024-08-02,171.83,167.66,-2.4268172030495347,,,,,,"[65375.88, 65771.81, 67911.81, 67808.66, 68259.05, 66819.05, 66201.27, 64625.84]","[3336.36, 3174.05, 3275.89, 3247.51, 3271.45, 3320.64, 3278.69, 3231.25]","[178.03, 171.96, 183.14, 184.09, 184.89, 182.77, 179.11, 171.83]","[5433.67, 5476.55, 5478.73, 5505.59, 5537.84, 5376.63]",2.8346673952384833,-6.051381353616062,17.218091274984655,-2.375150705227828
2024-08-01,2024-08-06,2024-08-08,2024-08-09,144.63,162.93,12.652976560879496,,,,,,"[64625.84, 65353.5, 61414.81, 60676.09, 58110.3, 53991.35, 56040.63, 55030.03]","[3231.25, 3201.6, 2985.95, 2903.09, 2686.03, 2417.27, 2458.99, 2336.92]","[171.83, 167.66, 152.64, 142.92, 138.05, 129.86, 144.09, 144.63]","[5376.63, 5151.14, 5206.42, 5293.13, 5252.57, 5314.66]",-2.9531466582957995,-22.587783225122568,3.647699584348576,-4.9470065781237205
2024-08-08,2024-08-13,2024-08-15,2024-08-16,143.92,142.74,-0.8198999444135482,,,,,,"[55030.03, 61728.21, 60881.23, 60944.89, 58719.39, 59356.21, 60611.05, 58733.26]","[2336.92, 2683.72, 2599.58, 2609.97, 2553.5, 2724.3, 2703.59, 2662.89]","[144.63, 162.93, 156.46, 153.96, 141.53, 146.45, 146.71, 143.92]","[5314.66, 5351.88, 5376.98, 5442.36, 5501.13, 5530.5]",-9.3404556218918,-23.61494374867332,-9.920510734180397,-1.4183423736245664
2024-08-15,2024-08-20,2024-08-22,2024-08-23,142.71,143.26,0.3853969588676216,,,,,,"[58733.26, 57560.27, 58893.53, 59468.13, 58480.71, 59493.45, 59014.99, 61168.32]","[2662.89, 2570.09, 2593.17, 2614.11, 2612.72, 2637.31, 2573.11, 2630.86]","[143.92, 142.74, 139.33, 141.8, 142.59, 144.35, 142.33, 142.71]","[5530.5, 5557.23, 5602.88, 5603.09, 5637.77, 5602.49]",-9.493969058131418,-23.538626528364286,-20.264834059671465,1.7554088022899257
2024-08-22,2024-08-27,2024-08-29,2024-08-30,143.89,140.05,-2.6687052609632187,,,,,,"[61168.32, 60380.95, 64103.87, 64176.37, 64342.23, 62879.71, 59507.93, 59027.47]","[2630.86, 2622.92, 2765.48, 2769.1, 2749.25, 2681.62, 2458.9, 2528.36]","[142.71, 143.26, 153.11, 160.73, 158.91, 157.24, 146.9, 143.89]","[5602.49, 5639.66, 5602.89, 5624.51, 5607.3, 5612.74]",-11.660716517220765,-23.85925604702707,-21.272637741423654,1.946203767443628
2024-08-29,2024-09-03,2024-09-05,2024-09-06,133.6,129.33,-3.1961077844311245,,,,,,"[59027.47, 59388.6, 59117.48, 58969.8, 57326.97, 59106.19, 57430.35, 57971.7]","[2528.36, 2528.73, 2525.86, 2513.42, 2427.97, 2538.16, 2420.19, 2448.99]","[143.89, 140.05, 138.1, 135.37, 128.69, 135.0, 127.58, 133.6]","[5612.74, 5623.89, 5506.68, 5520.08, 5507.33]",7.372199435650338,1.3122241205988492,2.8800246419220548,4.046754944616886
2024-09-05,2024-09-10,2024-09-12,2024-09-13,132.5,136.14,2.7471698113207443,,,,,,"[57971.7, 56160.19, 53949.09, 54147.93, 54851.89, 57020.1, 57650.29, 57343.17]","[2448.99, 2367.7, 2223.93, 2274.44, 2297.9, 2358.5, 2389.6, 2339.84]","[133.6, 129.33, 124.99, 127.72, 129.99, 135.03, 135.63, 132.5]","[5507.33, 5442.07, 5490.51, 5496.42, 5557.48, 5603.34]",-3.391456428906092,-14.112249018096392,-9.525435302150898,2.957907966396939
2024-09-12,2024-09-17,2024-09-19,2024-09-20,133.99,142.84,6.604970520188069,,,,,,"[57343.17, 58130.32, 60569.12, 60000.73, 59185.23, 58192.51, 60309.0, 61651.16]","[2339.84, 2361.74, 2441.58, 2418.27, 2320.89, 2295.28, 2341.73, 2369.37]","[132.5, 136.14, 139.1, 137.18, 131.5, 131.47, 131.54, 133.99]","[5603.34, 5615.21, 5655.51, 5641.68, 5702.63, 5709.64]",3.6268026144054626,-10.159594435238938,-7.177000346380316,1.9016292795582468
2024-09-19,2024-09-24,2024-09-26,2024-09-27,148.02,155.58,5.107417916497772,,,,,,"[61651.16, 62941.43, 63184.34, 63396.8, 63643.1, 63326.84, 64302.59, 63138.55]","[2369.37, 2464.78, 2560.88, 2615.85, 2582.77, 2648.48, 2654.36, 2579.22]","[133.99, 142.84, 146.57, 149.53, 144.8, 144.81, 152.89, 148.02]","[5709.64, 5711.9, 5727.66, 5733.65, 5762.22, 5755.36]",0.4116431198553615,-3.818587271872976,-5.863647926736198,2.3264248796783975
2024-09-26,2024-10-01,2024-10-03,2024-10-04,140.38,136.79,-2.5573443510471603,,,,,,"[63138.55, 65180.66, 65792.18, 65888.9, 65634.66, 63335.61, 60836.32, 60632.48]","[2579.22, 2632.24, 2695.82, 2677.63, 2659.29, 2603.26, 2448.88, 2365.21]","[148.02, 155.58, 157.75, 156.91, 158.63, 152.62, 145.29, 140.38]","[5755.36, 5726.52, 5757.73, 5698.14, 5698.19, 5737.48]",2.582284528913132,-6.8139912377470235,3.985185185185182,4.19127314461707
