price_reference_date,context_start_date,target_date,prediction_date,reference_price,summarized_context,predicted_price,actual_price,predicted_change_pct,actual_change_pct,llm_reasoning,llm_reflection,btc_price_array
2024-07-25,2024-07-30,2024-08-01,2024-08-02,,,,,,,,,"[65375.88, 65771.81, 67911.81, 67808.66, 68259.05, 66819.05, 66201.27, 64625.84]"
2024-08-01,2024-08-06,2024-08-08,2024-08-09,,,,,,,,,"[64625.84, 65353.5, 61414.81, 60676.09, 58110.3, 53991.35, 56040.63, 55030.03]"
2024-08-08,2024-08-13,2024-08-15,2024-08-16,,,,,,,,,"[55030.03, 61728.21, 60881.23, 60944.89, 58719.39, 59356.21, 60611.05, 58733.26]"
2024-08-15,2024-08-20,2024-08-22,2024-08-23,,,,,,,,,"[58733.26, 57560.27, 58893.53, 59468.13, 58480.71, 59493.45, 59014.99, 61168.32]"
2024-08-22,2024-08-27,2024-08-29,2024-08-30,,,,,,,,,"[61168.32, 60380.95, 64103.87, 64176.37, 64342.23, 62879.71, 59507.93, 59027.47]"
2024-08-29,2024-09-03,2024-09-05,2024-09-06,,,,,,,,,"[59027.47, 59388.6, 59117.48, 58969.8, 57326.97, 59106.19, 57430.35, 57971.7]"
2024-09-05,2024-09-10,2024-09-12,2024-09-13,,,,,,,,,"[57971.7, 56160.19, 53949.09, 54147.93, 54851.89, 57020.1, 57650.29, 57343.17]"
2024-09-12,2024-09-17,2024-09-19,2024-09-20,,,,,,,,,"[57343.17, 58130.32, 60569.12, 60000.73, 59185.23, 58192.51, 60309.0, 61651.16]"
2024-09-19,2024-09-24,2024-09-26,2024-09-27,,,,,,,,,"[61651.16, 62941.43, 63184.34, 63396.8, 63643.1, 63326.84, 64302.59, 63138.55]"
2024-09-26,2024-10-01,2024-10-03,2024-10-04,,,,,,,,,"[63138.55, 65180.66, 65792.18, 65888.9, 65634.66, 63335.61, 60836.32, 60632.48]"
