price_reference_date,context_start_date,target_date,prediction_date,reference_price,summarized_context,predicted_price,actual_price,predicted_change_pct,actual_change_pct,llm_reasoning,llm_reflection,btc_price_array,eth_price_array
2024-07-25,2024-07-30,2024-08-01,2024-08-02,,,,,,,,,"[65375.88, 65771.81, 67911.81, 67808.66, 68259.05, 66819.05, 66201.27, 64625.84]","[3336.36, 3174.05, 3275.89, 3247.51, 3271.45, 3320.64, 3278.69, 3231.25]"
2024-08-01,2024-08-06,2024-08-08,2024-08-09,,,,,,,,,"[64625.84, 65353.5, 61414.81, 60676.09, 58110.3, 53991.35, 56040.63, 55030.03]","[3231.25, 3201.6, 2985.95, 2903.09, 2686.03, 2417.27, 2458.99, 2336.92]"
2024-08-08,2024-08-13,2024-08-15,2024-08-16,,,,,,,,,"[55030.03, 61728.21, 60881.23, 60944.89, 58719.39, 59356.21, 60611.05, 58733.26]","[2336.92, 2683.72, 2599.58, 2609.97, 2553.5, 2724.3, 2703.59, 2662.89]"
2024-08-15,2024-08-20,2024-08-22,2024-08-23,,,,,,,,,"[58733.26, 57560.27, 58893.53, 59468.13, 58480.71, 59493.45, 59014.99, 61168.32]","[2662.89, 2570.09, 2593.17, 2614.11, 2612.72, 2637.31, 2573.11, 2630.86]"
2024-08-22,2024-08-27,2024-08-29,2024-08-30,,,,,,,,,"[61168.32, 60380.95, 64103.87, 64176.37, 64342.23, 62879.71, 59507.93, 59027.47]","[2630.86, 2622.92, 2765.48, 2769.1, 2749.25, 2681.62, 2458.9, 2528.36]"
2024-08-29,2024-09-03,2024-09-05,2024-09-06,,,,,,,,,"[59027.47, 59388.6, 59117.48, 58969.8, 57326.97, 59106.19, 57430.35, 57971.7]","[2528.36, 2528.73, 2525.86, 2513.42, 2427.97, 2538.16, 2420.19, 2448.99]"
2024-09-05,2024-09-10,2024-09-12,2024-09-13,,,,,,,,,"[57971.7, 56160.19, 53949.09, 54147.93, 54851.89, 57020.1, 57650.29, 57343.17]","[2448.99, 2367.7, 2223.93, 2274.44, 2297.9, 2358.5, 2389.6, 2339.84]"
2024-09-12,2024-09-17,2024-09-19,2024-09-20,,,,,,,,,"[57343.17, 58130.32, 60569.12, 60000.73, 59185.23, 58192.51, 60309.0, 61651.16]","[2339.84, 2361.74, 2441.58, 2418.27, 2320.89, 2295.28, 2341.73, 2369.37]"
2024-09-19,2024-09-24,2024-09-26,2024-09-27,,,,,,,,,"[61651.16, 62941.43, 63184.34, 63396.8, 63643.1, 63326.84, 64302.59, 63138.55]","[2369.37, 2464.78, 2560.88, 2615.85, 2582.77, 2648.48, 2654.36, 2579.22]"
2024-09-26,2024-10-01,2024-10-03,2024-10-04,,,,,,,,,"[63138.55, 65180.66, 65792.18, 65888.9, 65634.66, 63335.61, 60836.32, 60632.48]","[2579.22, 2632.24, 2695.82, 2677.63, 2659.29, 2603.26, 2448.88, 2365.21]"
2024-10-03,2024-10-08,2024-10-10,2024-10-11,,,,,,,,,"[60632.48, 60754.63, 62067.61, 62084.99, 62819.11, 62221.64, 62131.73, 60581.93]","[2365.21, 2349.73, 2414.85, 2415.53, 2439.94, 2421.98, 2439.84, 2368.27]"
2024-10-10,2024-10-15,2024-10-17,2024-10-18,,,,,,,,,"[60581.93, 60275.46, 62444.62, 63192.95, 62848.4, 66050.37, 67042.46, 67617.08]","[2368.27, 2383.94, 2436.52, 2476.52, 2467.65, 2629.02, 2606.02, 2611.19]"
2024-10-17,2024-10-22,2024-10-24,2024-10-25,,,,,,,,,"[67617.08, 67419.11, 68418.98, 68364.18, 69002.0, 67360.7, 67362.38, 66653.7]","[2611.19, 2604.81, 2641.49, 2648.67, 2746.31, 2665.66, 2620.09, 2523.61]"
2024-10-24,2024-10-29,2024-10-31,2024-11-01,,,,,,,,,"[66653.7, 68165.3, 66628.73, 67023.48, 67922.67, 69910.05, 72715.37, 72335.05]","[2523.61, 2534.45, 2436.05, 2479.94, 2505.59, 2565.42, 2637.64, 2657.21]"
2024-10-31,2024-11-05,2024-11-07,2024-11-08,,,,,,,,,"[72335.05, 70216.9, 69486.02, 69296.38, 68742.13, 67811.17, 69358.5, 75637.09]","[2657.21, 2515.87, 2512.21, 2491.09, 2456.1, 2397.04, 2422.54, 2724.01]"
2024-11-07,2024-11-12,2024-11-14,2024-11-15,,,,,,,,,"[75637.09, 75902.84, 76556.19, 76775.55, 80471.41, 88705.56, 87929.97, 90574.88]","[2724.01, 2895.6, 2962.79, 3130.73, 3191.66, 3375.15, 3244.54, 3192.52]"
