price_reference_date,context_start_date,target_date,prediction_date,target_date_sol_price,prediction_date_sol_price,actual_change_pct,summarized_context,predicted_price,predicted_change_pct,llm_reasoning,llm_reflection,btc_price_array,eth_price_array,sol_price_array
2024-07-25,2024-07-30,2024-08-01,2024-08-02,171.83,167.66,-2.4268172030495347,,,,,,"[65375.88, 65771.81, 67911.81, 67808.66, 68259.05, 66819.05, 66201.27, 64625.84]","[3336.36, 3174.05, 3275.89, 3247.51, 3271.45, 3320.64, 3278.69, 3231.25]","[178.03, 171.96, 183.14, 184.09, 184.89, 182.77, 179.11, 171.83]"
2024-08-01,2024-08-06,2024-08-08,2024-08-09,144.63,162.93,12.652976560879495,,,,,,"[64625.84, 65353.5, 61414.81, 60676.09, 58110.3, 53991.35, 56040.63, 55030.03]","[3231.25, 3201.6, 2985.95, 2903.09, 2686.03, 2417.27, 2458.99, 2336.92]","[171.83, 167.66, 152.64, 142.92, 138.05, 129.86, 144.09, 144.63]"
2024-08-08,2024-08-13,2024-08-15,2024-08-16,143.92,142.74,-0.8198999444135482,,,,,,"[55030.03, 61728.21, 60881.23, 60944.89, 58719.39, 59356.21, 60611.05, 58733.26]","[2336.92, 2683.72, 2599.58, 2609.97, 2553.5, 2724.3, 2703.59, 2662.89]","[144.63, 162.93, 156.46, 153.96, 141.53, 146.45, 146.71, 143.92]"
2024-08-15,2024-08-20,2024-08-22,2024-08-23,142.71,143.26,0.38539695886762165,,,,,,"[58733.26, 57560.27, 58893.53, 59468.13, 58480.71, 59493.45, 59014.99, 61168.32]","[2662.89, 2570.09, 2593.17, 2614.11, 2612.72, 2637.31, 2573.11, 2630.86]","[143.92, 142.74, 139.33, 141.8, 142.59, 144.35, 142.33, 142.71]"
2024-08-22,2024-08-27,2024-08-29,2024-08-30,143.89,140.05,-2.6687052609632187,,,,,,"[61168.32, 60380.95, 64103.87, 64176.37, 64342.23, 62879.71, 59507.93, 59027.47]","[2630.86, 2622.92, 2765.48, 2769.1, 2749.25, 2681.62, 2458.9, 2528.36]","[142.71, 143.26, 153.11, 160.73, 158.91, 157.24, 146.9, 143.89]"
2024-08-29,2024-09-03,2024-09-05,2024-09-06,133.6,129.33,-3.1961077844311245,,,,,,"[59027.47, 59388.6, 59117.48, 58969.8, 57326.97, 59106.19, 57430.35, 57971.7]","[2528.36, 2528.73, 2525.86, 2513.42, 2427.97, 2538.16, 2420.19, 2448.99]","[143.89, 140.05, 138.1, 135.37, 128.69, 135.0, 127.58, 133.6]"
2024-09-05,2024-09-10,2024-09-12,2024-09-13,132.5,136.14,2.7471698113207443,,,,,,"[57971.7, 56160.19, 53949.09, 54147.93, 54851.89, 57020.1, 57650.29, 57343.17]","[2448.99, 2367.7, 2223.93, 2274.44, 2297.9, 2358.5, 2389.6, 2339.84]","[133.6, 129.33, 124.99, 127.72, 129.99, 135.03, 135.63, 132.5]"
2024-09-12,2024-09-17,2024-09-19,2024-09-20,133.99,142.84,6.604970520188069,,,,,,"[57343.17, 58130.32, 60569.12, 60000.73, 59185.23, 58192.51, 60309.0, 61651.16]","[2339.84, 2361.74, 2441.58, 2418.27, 2320.89, 2295.28, 2341.73, 2369.37]","[132.5, 136.14, 139.1, 137.18, 131.5, 131.47, 131.54, 133.99]"
2024-09-19,2024-09-24,2024-09-26,2024-09-27,148.02,155.58,5.107417916497772,,,,,,"[61651.16, 62941.43, 63184.34, 63396.8, 63643.1, 63326.84, 64302.59, 63138.55]","[2369.37, 2464.78, 2560.88, 2615.85, 2582.77, 2648.48, 2654.36, 2579.22]","[133.99, 142.84, 146.57, 149.53, 144.8, 144.81, 152.89, 148.02]"
2024-09-26,2024-10-01,2024-10-03,2024-10-04,140.38,136.79,-2.5573443510471603,,,,,,"[63138.55, 65180.66, 65792.18, 65888.9, 65634.66, 63335.61, 60836.32, 60632.48]","[2579.22, 2632.24, 2695.82, 2677.63, 2659.29, 2603.26, 2448.88, 2365.21]","[148.02, 155.58, 157.75, 156.91, 158.63, 152.62, 145.29, 140.38]"
2024-10-03,2024-10-08,2024-10-10,2024-10-11,139.31,138.89,-0.3014858947670777,,,,,,"[60632.48, 60754.63, 62067.61, 62084.99, 62819.11, 62221.64, 62131.73, 60581.93]","[2365.21, 2349.73, 2414.85, 2415.53, 2439.94, 2421.98, 2439.84, 2368.27]","[140.38, 136.79, 143.17, 142.71, 146.44, 143.99, 143.4, 139.31]"
2024-10-10,2024-10-15,2024-10-17,2024-10-18,154.24,150.32,-2.54149377593362,,,,,,"[60581.93, 60275.46, 62444.62, 63192.95, 62848.4, 66050.37, 67042.46, 67617.08]","[2368.27, 2383.94, 2436.52, 2476.52, 2467.65, 2629.02, 2606.02, 2611.19]","[139.31, 138.89, 145.38, 146.5, 147.57, 157.45, 154.72, 154.24]"
2024-10-17,2024-10-22,2024-10-24,2024-10-25,171.11,177.16,3.5357372450470352,,,,,,"[67617.08, 67419.11, 68418.98, 68364.18, 69002.0, 67360.7, 67362.38, 66653.7]","[2611.19, 2604.81, 2641.49, 2648.67, 2746.31, 2665.66, 2620.09, 2523.61]","[154.24, 150.32, 154.98, 159.64, 166.94, 166.22, 167.26, 171.11]"
2024-10-24,2024-10-29,2024-10-31,2024-11-01,174.93,168.43,-3.715772023094952,,,,,,"[66653.7, 68165.3, 66628.73, 67023.48, 67922.67, 69910.05, 72715.37, 72335.05]","[2523.61, 2534.45, 2436.05, 2479.94, 2505.59, 2565.42, 2637.64, 2657.21]","[171.11, 177.16, 164.76, 170.71, 176.55, 178.1, 179.36, 174.93]"
2024-10-31,2024-11-05,2024-11-07,2024-11-08,186.95,196.33,5.01738432736027,,,,,,"[72335.05, 70216.9, 69486.02, 69296.38, 68742.13, 67811.17, 69358.5, 75637.09]","[2657.21, 2515.87, 2512.21, 2491.09, 2456.1, 2397.04, 2422.54, 2724.01]","[174.93, 168.43, 166.26, 166.01, 162.55, 157.75, 166.72, 186.95]"
2024-11-07,2024-11-12,2024-11-14,2024-11-15,215.18,209.24,-2.7604795984756936,,,,,,"[75637.09, 75902.84, 76556.19, 76775.55, 80471.41, 88705.56, 87929.97, 90574.88]","[2724.01, 2895.6, 2962.79, 3130.73, 3191.66, 3375.15, 3244.54, 3192.52]","[186.95, 196.33, 199.94, 200.2, 210.61, 222.64, 212.21, 215.18]"
2024-11-14,2024-11-19,2024-11-21,2024-11-22,235.43,257.08,9.195939345028236,,,,,,"[90574.88, 87284.18, 91064.37, 90558.46, 89843.72, 90536.81, 92341.89, 94334.64]","[3192.52, 3059.53, 3089.74, 3133.31, 3075.72, 3208.25, 3111.12, 3072.06]","[215.18, 209.24, 218.57, 215.85, 237.58, 239.8, 238.09, 235.43]"
2024-11-21,2024-11-26,2024-11-28,2024-11-29,242.3,237.76,-1.873710276516723,,,,,,"[94334.64, 98496.43, 99006.74, 97778.09, 98033.45, 93087.28, 91978.14, 95954.95]","[3072.06, 3360.65, 3331.65, 3397.0, 3364.6, 3412.95, 3326.03, 3656.61]","[235.43, 257.08, 256.52, 255.18, 252.92, 234.45, 230.97, 242.3]"
2024-11-28,2024-12-03,2024-12-05,2024-12-06,229.12,236.54,3.23847765363128,,,,,,"[95954.95, 95653.95, 97468.81, 96461.34, 97276.01, 95854.59, 95988.53, 98741.54]","[3656.61, 3579.91, 3593.6, 3706.62, 3710.5, 3643.74, 3620.04, 3840.84]","[242.3, 237.76, 243.55, 237.74, 237.07, 225.77, 234.2, 229.12]"
2024-12-05,2024-12-10,2024-12-12,2024-12-13,227.45,227.03,-0.18465596834468567,,,,,,"[98741.54, 97074.23, 99916.71, 99921.91, 101237.06, 97441.23, 96656.06, 101167.8]","[3840.84, 3792.21, 4006.03, 4007.69, 4006.1, 3719.0, 3631.28, 3833.17]","[229.12, 236.54, 237.05, 239.49, 237.46, 217.33, 213.84, 227.45]"
2024-12-12,2024-12-17,2024-12-19,2024-12-20,206.38,194.28,-5.86297121814129,,,,,,"[101167.8, 100046.65, 101451.44, 101373.53, 104293.58, 106030.69, 106147.3, 100070.69]","[3833.17, 3883.03, 3910.85, 3868.44, 3951.65, 3987.33, 3886.89, 3619.58]","[227.45, 227.03, 224.84, 219.84, 223.66, 216.33, 222.82, 206.38]"
2024-12-19,2024-12-24,2024-12-26,2024-12-27,197.48,188.22,-4.689082438727968,,,,,,"[100070.69, 97484.7, 97756.2, 97218.32, 95099.39, 94684.34, 98675.91, 99297.7]","[3619.58, 3417.93, 3472.59, 3337.0, 3277.51, 3415.74, 3491.96, 3493.3]","[206.38, 194.28, 194.21, 181.29, 180.17, 189.75, 196.99, 197.48]"
2024-12-26,2024-12-31,2025-01-02,2025-01-03,193.87,207.77,7.169752927219274,,,,,,"[99297.7, 95704.98, 94160.19, 95174.05, 93527.2, 92643.25, 93425.1, 94416.29]","[3493.3, 3331.05, 3328.77, 3397.86, 3349.59, 3356.39, 3332.41, 3353.41]","[197.48, 188.22, 183.83, 195.02, 189.74, 191.05, 189.27, 193.87]"
